#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
560,Ruggles of Red Gap,1935,Leo McCarey,1h 30m,7.6,3.9,"Comédia, Faroeste, Mistério, Romance","Walter DeLeon, Robert E. Hopkins","Charles Laughton, Mary Boland, Charlie Ruggles, Charles Coleman, John Qualen",1,0,False
561,The Informer,1935,John Ford,1h 31m,7.3,3.7,"Drama, Policial",Dudley Nichols,"Victor McLaglen, Heather Angel, Preston Foster, Margot Grahame, Wallace Ford",6,4,False
562,The Lives of a Bengal Lancer,1935,Henry Hathaway,1h 49m,7.0,3.3,"Aventura, Drama, Guerra","Grover Jones, William Slavens McNutt","Gary Cooper, Franchot Tone, Richard Cromwell, Douglass Montgomery, Guy Kibbee",7,1,False
563,Top Hat,1935,Mark Sandrich,1h 41m,7.7,3.8,"Comédia, Musical, Romance","Allan Scott, Dwight Taylor","Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes, Helen Broderick",4,0,False
564,It Happened One Night,1934,Frank Capra,1h 45m,8.1,4.2,"Comédia, Romance",Robert Riskin,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Alan Hale",5,5,True
565,Cleopatra,1934,Cecil B. DeMille,1h 40m,6.8,3.4,"Biografia, Drama, História","Waldemar Young, Vincent Lawrence, Bartlett Cormack","Claudette Colbert, Warren William, Henry Wilcoxon, Joseph Schildkraut, Ian Keith",5,1,False
566,Flirtation Walk,1934,Frank Borzage,1h 37m,5.6,2.9,Musical,"Delmer Daves, Louis F. Edelman","Dick Powell, Ruby Keeler, Pat O'Brien, Ross Alexander, John Arledge",2,0,False
567,Here Comes the Navy,1934,Lloyd Bacon,1h 27m,6.2,3.0,"Comédia, Drama, Guerra, Romance","Earl Baldwin, Ben Markson","James Cagney, Pat O'Brien, Gloria Stuart, Frank McHugh, Robert Barrat",1,0,False
568,Imitation of Life,1934,John M. Stahl,1h 51m,7.5,3.5,"Comédia, Drama, Romance",William Hurlbut,"Claudette Colbert, Warren William, Rochelle Hudson, Ned Sparks, Louise Beavers",3,0,False
569,One Night of Love,1934,Victor Schertzinger,1h 24m,5.6,2.9,"Comédia, Musical, Romance","S.K. Lauren, James Gow, Edmund H. North","Grace Moore, Tullio Carminati, Lyle Talbot, Mona Barrie, Jessie Ralph",6,2,False
570,The Barretts of Wimpole Street,1934,Sidney Franklin,1h 49m,6.9,3.3,"Biografia, Drama, Romance","Edith Fitzgerald, Ian McLellan Hunter","Norma Shearer, Fredric March, Charles Laughton, Maureen O'Sullivan, Katharine Alexander",2,0,False
571,The Gay Divorcee,1934,Mark Sandrich,1h 47m,7.3,3.5,"Comédia, Musical, Romance","George Marion Jr., Dorothy Yost, Edward Kaufman","Fred Astaire, Ginger Rogers, Alice Brady, Edward Everett Horton, Erik Rhodes",5,1,False
572,The House of Rothschild,1934,"Alfred L. Werker, Sidney Lanfield",1h 28m,6.4,3.0,"Biografia, Drama, Guerra, História",Nunnally Johnson,"George Arliss, Boris Karloff, Loretta Young, Robert Young, Arthur Byron",1,0,False
573,The Thin Man,1934,W.S. Van Dyke,1h 31m,7.9,4.0,"Comédia, Mistério, Policial, Romance","Albert Hackett, Frances Goodrich","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Porter Hall",4,0,False
574,The White Parade,1934,Irving Cummings,1h 20m,6.5,3.3,Drama,"Rian James, Jesse Lasky Jr.","Loretta Young, John Boles, Dorothy Wilson, Muriel Kirkland, Astrid Allwyn",2,0,False
575,Viva Villa!,1934,"Jack Conway, Howard Hawks, William A. Wellman",1h 55m,6.3,3.1,"Biografia, Drama, Faroeste",Ben Hecht,"Wallace Beery, Leo Carrillo, Fay Wray, Donald Cook, Stuart Erwin",4,1,False
576,Cavalcade,1933,Frank Lloyd,1h 52m,5.8,2.5,"Drama, Guerra, Romance",Reginald Berkeley,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin, Beryl Mercer",4,3,True
577,42nd Street,1933,Lloyd Bacon,1h 29m,7.3,3.6,"Comédia, Drama, Musical, Romance","Rian James, James Seymour","Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee",2,0,False
578,A Farewell to Arms,1932,Frank Borzage,1h 20m,6.4,3.4,"Drama, Guerra, Romance","Benjamin Glazer, Oliver H.P. Garrett","Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips, Jack La Rue",4,2,False
579,I Am a Fugitive from a Chain Gang,1932,Mervyn LeRoy,1h 32m,8.2,4.1,"Drama, Filme noir, Policial","Howard J. Green, Brown Holmes","Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis, Preston Foster",3,0,False
580,Lady for a Day,1933,Frank Capra,1h 36m,7.4,3.6,"Comédia, Drama",Robert Riskin,"Warren William, May Robson, Guy Kibbee, Glenda Farrell, Ned Sparks",4,0,False
581,Little Women,1933,George Cukor,1h 55m,7.1,3.5,"Drama, Família, Guerra, Romance","Louisa May Alcott, Sarah Y. Mason, Victor Heerman","Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver, Jean Parker",3,1,False
582,She Done Him Wrong,1933,Lowell Sherman,1h 6m,6.3,3.1,"Comédia, Drama, História, Musical, Romance","Harvey F. Thew, John Bright","Mae West, Cary Grant, Owen Moore, Gilbert Roland, Noah Beery",1,0,False
583,Smilin' Through,1932,Sidney Franklin,1h 38m,6.9,3.4,"Drama, Romance",Jane Murfin,"Norma Shearer, Fredric March, Leslie Howard, Ralph Forbes, Anita Louise",1,0,False
584,State Fair,1933,Henry King,1h 39m,6.7,3.4,"Comédia, Drama, Romance","Morrie Ryskind, Sonya Levien","Janet Gaynor, Will Rogers, Allan Jones, June Knight, Helen Westley",2,0,False
585,The Private Life of Henry VIII,1933,Alexander Korda,1h 37m,7.0,3.4,"Biografia, Drama, História","Lajos Biró, Arthur Wimperis","Charles Laughton, Robert Donat, Franklin Dyall, Miles Mander, Lawrence Hanray",2,1,False
586,Grand Hotel,1932,Edmund Goulding,1h 52m,7.3,3.5,"Drama, Romance","Béla Balázs, Edgar Allan Woolf","Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lionel Barrymore",1,1,True
587,Arrowsmith,1931,John Ford,1h 48m,6.2,3.2,Drama,Sidney Howard,"Ronald Colman, Helen Hayes, Richard Bennett, Clarence Brooks, Claude King",4,0,False
588,Bad Girl,1931,Frank Borzage,1h 30m,6.4,3.3,"Drama, Romance",Viña Delmar,"James Dunn, Sally Eilers, Minna Gombell, Frank Darien, William Pawley",3,2,False
589,The Champ,1931,King Vidor,1h 26m,7.2,3.6,"Drama, Esportes, Família",Don Marquis,"Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates, Donald Douglas",4,2,False
590,Five Star Final,1931,Mervyn LeRoy,1h 29m,7.3,3.6,"Drama, Policial",Byron Morgan,"Edward G. Robinson, Mariah Marsh, H.B. Warner, Anthony Bushell, George E. Stone",1,0,False
591,One Hour with You,1932,"George Cukor, Ernst Lubitsch",1h 18m,7.0,3.5,"Comédia, Musical, Romance",Samson Raphaelson,"Maurice Chevalier, Jeanette MacDonald, Lili Damita, Genevieve Tobin, Pierre Etchepare",1,0,False
592,Shanghai Express,1932,Josef von Sternberg,1h 22m,7.3,3.7,"Aventura, Drama, Filme noir, Romance",Jules Furthman,"Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland, Eugene Pallette",3,1,False
593,The Smiling Lieutenant,1931,Ernst Lubitsch,1h 33m,7.1,3.6,"Comédia, Musical, Romance","Ernest Vajda, Samson Raphaelson","Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles, George Barbier",1,0,False
594,Cimarron,1931,Wesley Ruggles,2h 3m,5.8,2.4,"Drama, Faroeste","Edna Ferber, Howard Estabrook, Louis Sarecky","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier Jr.",7,3,True
595,East Lynne,1931,Frank Lloyd,1h 42m,5.7,3.0,"Drama, Romance","Bradley King, Tom Barry","Ann Harding, Clive Brook, Conrad Nagel, Cecilia Loftus, Beryl Mercer",1,0,False
596,Skippy,1931,Norman Taurog,1h 25m,6.3,3.2,"Comédia, Drama, Família","Joseph L. Mankiewicz, Norman Z. McLeod","Jackie Cooper, Robert Coogan, Mitzi Green, Jackie Searl, Willard Robertson",4,1,False
597,The Front Page,1931,Lewis Milestone,1h 41m,6.7,3.3,"Comédia, Drama, Mistério, Policial, Romance","Ben Hecht, Charles MacArthur","Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton, Walter Catlett",3,0,False
598,Trader Horn,1931,W.S. Van Dyke,2h 2m,6.1,2.6,"Aventura, Ação, Drama, Romance",Richard Schayer,"Harry Carey, Edwina Booth, Duncan Renaldo, Mutia Omoolu, Olive Carey",1,0,False
599,All Quiet on the Western Front,1930,Lewis Milestone,2h 32m,8.1,4.2,"Drama, Guerra","Erich Maria Remarque, Maxwell Anderson, George Abbott","Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy, Ben Alexander",4,2,True
600,Disraeli,1929,Alfred E. Green,1h 30m,6.1,2.8,"Biografia, Drama, História",Julien Josephson,"George Arliss, Doris Lloyd, David Torrence, Joan Bennett, Florence Arliss",3,1,False
601,The Big House,1930,"George W. Hill, Ward Wing",1h 27m,7.1,3.5,"Drama, Policial, Suspense",Frances Marion,"Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery, Leila Hyams",4,2,False
602,The Divorcee,1930,Robert Z. Leonard,1h 24m,6.7,3.3,"Drama, Romance","Zelda Sears, John Meehan","Norma Shearer, Chester Morris, Robert Montgomery, Florence Eldridge, Conrad Nagel",4,1,False
603,The Love Parade,1929,Ernst Lubitsch,1h 47m,7.0,3.4,"Comédia, Musical, Romance","Ernest Vajda, Guy Bolton","Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth, Eugene Pallette",6,0,False
604,The Broadway Melody,1929,Harry Beaumont,1h 40m,5.5,2.4,"Drama, Musical, Romance","Norman Houston, James Gleason, Edmund Goulding","Charles King, Anita Page, Bessie Love, Eddie Kane, J. Emmett Beck",3,1,True
605,Alibi,1929,Roland West,1h 31m,5.6,2.8,"Ação, Policial, Romance","Roland West, C. Gardner Sullivan","Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith, Irma Harrison",3,0,False
606,In Old Arizona,1928,"Irving Cummings, Raoul Walsh",1h 35m,5.5,2.6,"Drama, Faroeste","O. Henry, Tom Barry, Paul Gerard Smith","Edmund Lowe, Warner Baxter, Dorothy Burgess, Henry Armetta, James Bradbury Jr.",5,1,False
607,The Hollywood Revue of 1929,1929,"Charles Reisner, Christy Cabanne, Norman Houston",2h 10m,5.7,2.6,"Comédia, Musical","Al Boasberg, Robert E. Hopkins","Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer, Joan Crawford",1,0,False
608,The Patriot,1928,Ernst Lubitsch,1h 53m,7.2,3.1,"Drama, História, Suspense",Hanns Kräly,"Emil Jannings, Florence Vidor, Lewis Stone, Vera Voronina, Neil Hamilton",5,1,False
609,Wings,1927,"William A. Wellman, Harry d'Abbadie d'Arrast",2h 24m,7.5,3.8,"Ação, Drama, Guerra, Romance",John Monk Saunders,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel",2,2,True
610,7th Heaven,1927,Frank Borzage,1h 50m,7.5,3.7,"Drama, Romance","Benjamin Glazer, Kenneth Webb","Janet Gaynor, Charles Farrell, Ben Bard, Albert Gran, Olive Borden",5,3,False
611,The Racket,1928,Lewis Milestone,1h 24m,6.6,3.1,"Drama, Filme noir, Policial",Bartlett Cormack,"Thomas Meighan, Louis Wolheim, Marie Prevost, Henry Sedley, George E. Stone",1,0,False
