#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
385,The Guns of Navarone,1961,J. Lee Thompson,2h 38m,7.5,3.7,"Aventura, Ação, Drama, Guerra","Carl Foreman, Brian Garfield","Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, James Darren",7,1,False
386,The Hustler,1961,Robert Rossen,2h 14m,7.9,4.0,"Drama, Esportes","Sidney Carroll, Robert Rossen, Walter Tevis","Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott, Myron McCormick",9,2,False
387,The Apartment,1960,Billy Wilder,2h 5m,8.3,4.4,"Comédia, Drama, Romance","Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen",10,5,True
388,Elmer Gantry,1960,Richard Brooks,2h 26m,7.7,3.8,Drama,Richard Brooks,"Burt Lancaster, Jean Simmons, Dean Jagger, Arthur Kennedy, Shirley Jones",5,3,False
389,Sons and Lovers,1960,Jack Cardiff,1h 43m,7.1,3.5,Drama,"Gavin Lambert, T.E.B. Clarke","Trevor Howard, Dean Stockwell, Wendy Hiller, Mary Ure, Heather Sears",7,1,False
390,The Alamo,1960,John Wayne,2h 42m,6.8,3.3,"Aventura, Drama, Faroeste, Guerra, História",James Edward Grant,"John Wayne, Richard Widmark, Laurence Harvey, Frankie Avalon, Patrick Wayne",7,1,False
391,The Sundowners,1960,Fred Zinnemann,2h 13m,7.1,3.3,"Drama, Faroeste",Dalton Trumbo,"Robert Mitchum, Deborah Kerr, Peter Ustinov, Glynis Johns, Chips Rafferty",5,0,False
392,Ben-Hur,1959,William Wyler,3h 32m,8.1,4.1,"Aventura, Drama","Lew Wallace, Karl Tunberg, Gore Vidal","Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Hugh Griffith",12,11,True
393,Anatomy of a Murder,1959,Otto Preminger,2h 41m,8.0,4.2,"Drama, Mistério","Wendell Mayes, John D. Voelker","James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, George C. Scott",7,0,False
394,Room at the Top,1958,Jack Clayton,1h 57m,7.5,3.7,"Drama, Romance",Neil Paterson,"Laurence Harvey, Simone Signoret, Heather Sears, Donald Wolfit, Hermione Baddeley",6,2,False
395,The Diary of Anne Frank,1959,George Stevens,3h,7.4,3.7,"Biografia, Drama, Família, Guerra, História","Frances Goodrich, Albert Hackett","Millie Perkins, Shelley Winters, Joseph Schildkraut, Richard Beymer, Ed Wynn",8,3,False
396,The Nun's Story,1959,Fred Zinnemann,2h 29m,7.5,3.6,Drama,"Robert Anderson, Kathryn Hulme","Audrey Hepburn, Peter Finch, Edith Evans, Peggy Ashcroft, Dean Jagger",8,0,False
397,Gigi,1958,"Vincente Minnelli, Charles Walters",1h 55m,6.6,3.0,"Comédia, Musical, Romance","Alan Jay Lerner, Colette, Niven Busch","Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold, Eva Gabor",9,9,True
398,Auntie Mame,1958,Morton DaCosta,2h 23m,7.9,3.9,"Comédia, Drama, Romance","Betty Comden, Adolph Green, Patrick Dennis","Rosalind Russell, Forrest Tucker, Coral Browne, Fred Clark, Roger Smith",6,0,False
399,Cat on a Hot Tin Roof,1958,Richard Brooks,1h 48m,7.9,3.9,Drama,"Richard Brooks, James Poe, Tennessee Williams","Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson",6,0,False
400,Separate Tables,1958,Delbert Mann,1h 40m,7.3,3.5,"Drama, Romance","Terence Rattigan, John Gay, John Michael Hayes","Rita Hayworth, Deborah Kerr, David Niven, Burt Lancaster, Wendy Hiller",7,2,False
401,The Defiant Ones,1958,Stanley Kramer,1h 36m,7.6,3.8,"Drama, Policial","Nedrick Young, Harold Jacob Smith","Tony Curtis, Sidney Poitier, Theodore Bikel, Charles McGraw, Cara williams",9,2,False
